id,image,gt_type,gt_severity,pred_type,pred_severity,json_ok,elapsed,raw
crazing_0091,data/NEU-DET/train/images/crazing/crazing_181.jpg,crazing,low,patches,low,True,3.442639112472534,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
scratches_1344,data/NEU-DET/train/images/scratches/scratches_229.jpg,scratches,high,patches,low,True,3.446082592010498,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
inclusion_0462,data/NEU-DET/train/images/inclusion/inclusion_83.jpg,inclusion,medium,patches,low,True,3.4768106937408447,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
scratches_1742,data/NEU-DET/validation/images/scratches/scratches_243.jpg,scratches,high,scratches,medium,True,3.70362401008606,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 가로로 긴 긁힘 현상이 있습니다.""
}
```"
scratches_1394,data/NEU-DET/train/images/scratches/scratches_58.jpg,scratches,high,scratches,low,True,3.8705785274505615,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 가로로 긴 긁힘 현상이 있습니다.""
}
```"
pitted_surface_0917,data/NEU-DET/train/images/pitted_surface/pitted_surface_60.jpg,pitted_surface,high,pitted_surface,low,True,4.245893239974976,"```json
{
  ""type"": ""pitted_surface"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 구멍들이 보이며, 이는 표면 불량의 형태입니다.""
}
```"
rolled-in_scale_0995,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_130.jpg,rolled-in_scale,medium,pitted_surface,medium,True,4.229733467102051,"```json
{
  ""type"": ""pitted_surface"",
  ""type_ko"": ""점상"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 작은 구멍들이 보이며, 이는 부식이나 오염의 결과일 수 있습니다.""
}
```"
scratches_1760,data/NEU-DET/validation/images/scratches/scratches_261.jpg,scratches,high,patches,low,True,3.3520610332489014,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
inclusion_0400,data/NEU-DET/train/images/inclusion/inclusion_27.jpg,inclusion,medium,patches,low,True,3.3924672603607178,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
pitted_surface_0750,data/NEU-DET/train/images/pitted_surface/pitted_surface_126.jpg,pitted_surface,high,pitted_surface,medium,True,4.215283632278442,"```json
{
  ""type"": ""pitted_surface"",
  ""type_ko"": ""점상"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 작은 구멍들이 보이며, 이는 점상 불량을 나타냅니다.""
}
```"
crazing_0106,data/NEU-DET/train/images/crazing/crazing_195.jpg,crazing,low,patches,low,True,3.385333776473999,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
crazing_0049,data/NEU-DET/train/images/crazing/crazing_143.jpg,crazing,low,patches,low,True,3.6088497638702393,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
rolled-in_scale_1041,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_172.jpg,rolled-in_scale,medium,patches,low,True,3.5804102420806885,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
patches_0712,data/NEU-DET/train/images/patches/patches_92.jpg,patches,low,patches,medium,True,3.882138967514038,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 여러 개의 작은 점상이 보입니다.""
}
```"
rolled-in_scale_1193,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_93.jpg,rolled-in_scale,medium,patches,low,True,3.569992780685425,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
crazing_0174,data/NEU-DET/train/images/crazing/crazing_4.jpg,crazing,low,patches,low,True,3.605244636535645,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
scratches_1267,data/NEU-DET/train/images/scratches/scratches_16.jpg,scratches,high,scratches,low,True,4.121429443359375,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 가로로 긴 긁힘 현상이 있습니다.""
}
```"
inclusion_0343,data/NEU-DET/train/images/inclusion/inclusion_192.jpg,inclusion,medium,patches,low,True,3.693290233612061,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
scratches_1414,data/NEU-DET/train/images/scratches/scratches_76.jpg,scratches,high,patches,low,True,3.608820915222168,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
rolled-in_scale_1044,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_175.jpg,rolled-in_scale,medium,patches,low,True,3.585422277450561,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
scratches_1768,data/NEU-DET/validation/images/scratches/scratches_269.jpg,scratches,high,patches,low,True,3.588392734527588,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
inclusion_0285,data/NEU-DET/train/images/inclusion/inclusion_14.jpg,inclusion,medium,scratches,low,True,4.17106556892395,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 가로 세로로 긴 긁힘들이 보입니다.""
}
```"
rolled-in_scale_1110,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_234.jpg,rolled-in_scale,medium,patches,low,True,3.5293099880218506,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점疤"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점疤가 보입니다.""
}
```"
rolled-in_scale_1014,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_148.jpg,rolled-in_scale,medium,pitted_surface,low,True,3.6495962142944336,"```json
{
  ""type"": ""pitted_surface"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 구멍들이 보입니다.""
}
```"
rolled-in_scale_1047,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_178.jpg,rolled-in_scale,medium,patches,low,True,3.604226589202881,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
pitted_surface_0759,data/NEU-DET/train/images/pitted_surface/pitted_surface_134.jpg,pitted_surface,high,patches,low,True,3.6147658824920654,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점疤"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점疤가 보입니다.""
}
```"
scratches_1415,data/NEU-DET/train/images/scratches/scratches_77.jpg,scratches,high,scratches,medium,True,3.959979772567749,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 가로로 긴 긁힘 현상이 있습니다.""
}
```"
rolled-in_scale_1154,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_58.jpg,rolled-in_scale,medium,scratches,low,True,3.74188756942749,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 가로로 긴 긁힘 현상이 있습니다.""
}
```"
scratches_1298,data/NEU-DET/train/images/scratches/scratches_188.jpg,scratches,high,scratches,medium,True,3.771378755569458,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 깊은 긁힘들이 보입니다.""
}
```"
pitted_surface_1656,data/NEU-DET/validation/images/pitted_surface/pitted_surface_277.jpg,pitted_surface,high,patches,low,True,3.585291147232056,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
scratches_1359,data/NEU-DET/train/images/scratches/scratches_26.jpg,scratches,high,scratches,medium,True,3.744454145431519,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 긴 긁힘 현상이 있습니다.""
}
```"
crazing_0088,data/NEU-DET/train/images/crazing/crazing_179.jpg,crazing,low,patches,low,True,3.543381452560425,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
crazing_0149,data/NEU-DET/train/images/crazing/crazing_233.jpg,crazing,low,patches,low,True,3.605845451354981,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
scratches_1323,data/NEU-DET/train/images/scratches/scratches_21.jpg,scratches,high,scratches,medium,True,3.8427734375,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 깊은 긁힘들이 보입니다.""
}
```"
patches_0628,data/NEU-DET/train/images/patches/patches_232.jpg,patches,low,patches,low,True,3.3250699043273926,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
patches_1601,data/NEU-DET/validation/images/patches/patches_282.jpg,patches,low,patches,low,True,3.0135254859924316,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
rolled-in_scale_1079,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_206.jpg,rolled-in_scale,medium,patches,low,True,3.1668286323547363,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
patches_1561,data/NEU-DET/validation/images/patches/patches_242.jpg,patches,low,patches,medium,True,3.7952628135681152,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 흩어져 있는 검은색 점들이 보입니다.""
}
```"
scratches_1204,data/NEU-DET/train/images/scratches/scratches_102.jpg,scratches,high,patches,low,True,3.178813934326172,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
rolled-in_scale_1198,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_98.jpg,rolled-in_scale,medium,pitted_surface,low,True,4.67298698425293,"```json
{
  ""type"": ""pitted_surface"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 구멍들이 보이며, 이는 표면의 마모나 오래된 사용으로 인한 것으로 보입니다.""
}
```"
patches_0549,data/NEU-DET/train/images/patches/patches_161.jpg,patches,low,patches,low,True,4.97722053527832,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
pitted_surface_0880,data/NEU-DET/train/images/pitted_surface/pitted_surface_27.jpg,pitted_surface,high,patches,medium,True,3.3516690731048584,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
pitted_surface_1622,data/NEU-DET/validation/images/pitted_surface/pitted_surface_243.jpg,pitted_surface,high,patches,low,True,2.952505350112915,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점疤"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점疤가 보입니다.""
}
```"
inclusion_0459,data/NEU-DET/train/images/inclusion/inclusion_80.jpg,inclusion,medium,patches,low,True,2.9694666862487793,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
patches_0626,data/NEU-DET/train/images/patches/patches_230.jpg,patches,low,patches,medium,True,3.269824504852295,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 여러 개의 작은 점상이 보입니다.""
}
```"
crazing_0188,data/NEU-DET/train/images/crazing/crazing_52.jpg,crazing,low,patches,low,True,2.8369929790496826,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
pitted_surface_0837,data/NEU-DET/train/images/pitted_surface/pitted_surface_204.jpg,pitted_surface,high,pitted_surface,low,True,3.9852726459503174,"```json
{
  ""type"": ""pitted_surface"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 구멍들이 보이며, 이는 표면의 마모나 오염으로 인한 것으로 보입니다.""
}
```"
pitted_surface_0942,data/NEU-DET/train/images/pitted_surface/pitted_surface_83.jpg,pitted_surface,high,patches,low,True,2.8602538108825684,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
rolled-in_scale_1137,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_42.jpg,rolled-in_scale,medium,pitted_surface,low,True,4.126067161560059,"```json
{
  ""type"": ""pitted_surface"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 구멍들이 보이며, 이는 표면의 미세한 손상으로 인해 발생합니다.""
}
```"
scratches_1319,data/NEU-DET/train/images/scratches/scratches_206.jpg,scratches,high,scratches,medium,True,3.124652147293091,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 깊은 긁힘들이 보입니다.""
}
```"
crazing_0021,data/NEU-DET/train/images/crazing/crazing_118.jpg,crazing,low,patches,low,True,3.090106964111328,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
inclusion_0413,data/NEU-DET/train/images/inclusion/inclusion_39.jpg,inclusion,medium,patches,low,True,3.2057902812957764,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
patches_0646,data/NEU-DET/train/images/patches/patches_32.jpg,patches,low,patches,low,True,3.4237372875213623,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
scratches_1288,data/NEU-DET/train/images/scratches/scratches_179.jpg,scratches,high,scratches,medium,True,3.212825298309326,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 깊은 긁힘들이 보입니다.""
}
```"
crazing_1499,data/NEU-DET/validation/images/crazing/crazing_300.jpg,crazing,low,patches,low,True,3.7062785625457764,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 구멍들이 보이며, 이는 표면 불량의 형태로 볼 수 있습니다.""
}
```"
inclusion_0431,data/NEU-DET/train/images/inclusion/inclusion_55.jpg,inclusion,medium,patches,low,True,3.2421021461486816,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
pitted_surface_0922,data/NEU-DET/train/images/pitted_surface/pitted_surface_65.jpg,pitted_surface,high,pitted_surface,low,True,4.7884509563446045,"```json
{
  ""type"": ""pitted_surface"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 구멍들이 보이며, 이는 표면의 미세한 흔적이거나 작은 파손을 나타냅니다.""
}
```"
inclusion_0297,data/NEU-DET/train/images/inclusion/inclusion_150.jpg,inclusion,medium,patches,low,True,2.9718990325927734,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
rolled-in_scale_1012,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_146.jpg,rolled-in_scale,medium,patches,low,True,2.9298956394195557,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
inclusion_1542,data/NEU-DET/validation/images/inclusion/inclusion_283.jpg,inclusion,medium,scratches,medium,True,3.2369918823242188,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 깊은 긁힘들이 보입니다.""
}
```"
rolled-in_scale_1703,data/NEU-DET/validation/images/rolled-in_scale/rolled-in_scale_264.jpg,rolled-in_scale,medium,patches,low,True,2.98797607421875,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점疤"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점疤가 보입니다.""
}
```"
rolled-in_scale_1120,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_27.jpg,rolled-in_scale,medium,patches,low,True,2.9394824504852295,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점疤"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점疤가 보입니다.""
}
```"
inclusion_1543,data/NEU-DET/validation/images/inclusion/inclusion_284.jpg,inclusion,medium,scratches,low,True,3.398634195327759,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 가로 세로로 긴 긁힘들이 보입니다.""
}
```"
inclusion_0465,data/NEU-DET/train/images/inclusion/inclusion_86.jpg,inclusion,medium,patches,low,True,3.048619031906128,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
rolled-in_scale_1185,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_86.jpg,rolled-in_scale,medium,patches,low,True,3.071603775024414,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
crazing_0020,data/NEU-DET/train/images/crazing/crazing_117.jpg,crazing,low,patches,low,True,2.9688024520874023,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
patches_1592,data/NEU-DET/validation/images/patches/patches_273.jpg,patches,low,patches,medium,True,3.3636314868927,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 여러 개의 작은 점상이 보입니다.""
}
```"
crazing_0054,data/NEU-DET/train/images/crazing/crazing_148.jpg,crazing,low,patches,low,True,3.0792272090911865,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
inclusion_0386,data/NEU-DET/train/images/inclusion/inclusion_230.jpg,inclusion,medium,scratches,low,True,3.4850056171417236,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 가로로 긴 긁힘 현상이 있습니다.""
}
```"
inclusion_1515,data/NEU-DET/validation/images/inclusion/inclusion_256.jpg,inclusion,medium,scratches,low,True,3.468621015548706,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 가로로 긴 긁힘 현상이 있습니다.""
}
```"
inclusion_0266,data/NEU-DET/train/images/inclusion/inclusion_122.jpg,inclusion,medium,patches,low,True,3.0841317176818848,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
rolled-in_scale_1124,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_30.jpg,rolled-in_scale,medium,patches,low,True,3.123222827911377,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
crazing_0102,data/NEU-DET/train/images/crazing/crazing_191.jpg,crazing,low,patches,medium,True,2.926161766052246,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
scratches_1246,data/NEU-DET/train/images/scratches/scratches_140.jpg,scratches,high,scratches,medium,True,3.0126707553863525,"```json
{
  ""type"": ""scratches"",
  ""type_ko"": ""긁힘"",
  ""severity"": ""medium"",
  ""description"": ""금속 표면에 깊은 긁힘들이 보입니다.""
}
```"
rolled-in_scale_0967,data/NEU-DET/train/images/rolled-in_scale/rolled-in_scale_105.jpg,rolled-in_scale,medium,patches,low,True,2.9506449699401855,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
crazing_1487,data/NEU-DET/validation/images/crazing/crazing_288.jpg,crazing,low,patches,low,True,3.065488815307617,"```json
{
  ""type"": ""patches"",
  ""type_ko"": ""점상"",
  ""severity"": ""low"",
  ""description"": ""금속 표면에 작은 점상이 보입니다.""
}
```"
